,prompt,open_clip
0,"realistic portrait of a crusader knight in a byzantine mosaic, centered, very detailed, very realistic, elegant, top art, renowed artwork ",a mosaic of a man with a helmet on his head . 
1,"a painting of raining in a city with a lot of people in it, an ultrafine detailed matte painting by john martin, cgsociety, neoclassicism, german romanticism, apocalypse art, apocalypse landscape, matte painting, classical realism ",a large crowd of people walking down a street . 
2,"an elegant, wise young woman looking dramatically over her shoulder, character portrait by gaston bussiere, greg rutkowski and craig mullins ",a painting of a woman in a white dress . 
3,"close - up shot of cosmic skull, houdini, blender, render, photorealism, arnold, digital art, xgen, mari, artgerm, hyper detailed, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, octane rendered ",an image of a skull with a glowing eye . 
4,"a portrait of a lion portrait, cute and adorable, pretty, beautiful, art portrait, matte fantasy painting, deviantart, super detailed eyes, super detailed, nose, super detailed, eyes, artstation, by jason felix by steve argyle by tyler jacobson by peter mohrbacher, cinematic ",a painting of a lion 's face with a yellow background . 
5,"water splashes, water shaped like butterfly wings, sigma 2 4 mm f / 8 1 / 1 0 0 0 sec shutter speed, high speed photography, magic realism, shutterstock contest winner, creative commons attribution, benoit b mandelbrot, behance hd, blue background ",a close - up view of water splashing in the air . 
6,"high detail, macro portrait photo, a extremely beautiful midwestern woman of dutch ancestry with blue eyes and long blonde permed hair, smiles at the camera, set in a dimly lit bar at golden hour, shot using a zeiss supreme prime lens ",a close up of a person with long hair 
7,"a low - fi analog photograph. liminal space, deep sea monterey bay aquarium interior. strange, nonsensical, dreamlike, unsettling, infinite. ",a black and white photo of a fish swimming in the water . 
8,"close up of a terrified and frightened beautiful young woman with big red blood splotches on her face. wearing a magnificent emerald necklace. curled in a corner weeping profusely in terror, in a castle corridor. long brown - chestnut hair. green medieval ball gown. 4 k low angle photograph, lens focused on necklace, clear image, detailed face ",a woman with red and green makeup on her face . 
9,"whimsical fairy in a dark fantasy forest, trending on cgsociety, luminous lighting, 4 k, artstation contest winner, ilya ozornin, ruslan pronin, rajmund kanelba, foggy atmosphere, god rays, portrait!!, tarot, d & d, full body ",a fairy is swinging on a swing in the woods . 
10,"astronaut cat, helmet with cat ears, golden hour, sharp focus, hyper - realistic, 4 k, highly detailed, hd, international space station, selfie ",a person in an orange and white space suit with a helmet on . 
11,"centered oil painting portrait of demon king, realistic character concept, gazing eyes, artstation, cgsociety, 8 k, high resolution, well rendered, golden ratio, art by john howe and keith parkinson and larry elmore, trending on artstation, featured on cgsociety ",an image of an old man with a beard 
12,"a biomechanical duck, cybertronic, glowing eyes, octane render, large wings ",a black duck with a glowing yellow beak . 
13,bismuth by m. c. escher ,a drawing of a bunch of buildings made out of boxes . 
14,addams family by salvador dali ,a group of people with faces painted on them . 
15,"vfx film close, monster creature by aaron sims, in residential street, low - key lighting award winning photography arri alexa cinematography, hyper real photorealistic cinematic beautiful, atmospheric ",there is a man that is kneeling in the street 
16,john travolta action figure ,there is an action figure of a man in a suit . 
17,an archaeocyatha by m. c. escher. centered. ,an artistic drawing of a circle with swirling designs in it . 
18,"fox in a tuxedo drinking champagne, wide angle, highly detailed by boris vallejo, elegant, intrincate ",a painting of a man holding a glass of wine with a fox head on it . 
19,"a hyperdetailed design of a tiger whole body, five tails, tiger structure, ferocious, chinese mythology, victo nga, fumo yoshitoshi, ren jing jeong, feifei ruan, peter mohrbacher,, biomehieronymus spang, arunanondchai, murals, veileducationary, esllection, digital art ",an image of a painting of a tiger 
20,"portrait of squids swarming the ocean. shadow and light. rays of light. energetic, dynamic, lively, detailed, intricate, complex. fine art by hayao miyazaki, akira toriyama, makoto shinkai, and ohara koson. studio lighting. tilt and shift lens. ",a painting of a boat in the ocean surrounded by a flock of jellyfish . 
21,"large female human barbarian inside a dungeon, dungeons and dragons book illustration, mighty and robust, traditional art by greg staples, jeff easley, high definition, 8 k ",a blurry picture of a person in a room . 
22,"a robot coding, on screen old video game shown, robot playing with controller ",a person playing a video game on a television screen . 
23,"two rats in tuxedos arguing, contrast, deep focus, turnaround, highly detailed, dramatic lighting, digital painting, artstation, concept art, matte, sharp focus, greg rutkowski, moebius, illustration. ",two mice are fighting with each other in the dark . 
