,prompt,open_clip
0,"man lost in space, dreamy beautiful landscape, stars and galaxies environment, colors, film, dramatic, cinematic, highly detailed, mid day, large scale, hyperrealistic, realistic lighting, octane render, thomas kinkade, by wlop, artgerm, trending on artstation hd, 8 k, clear, sharp ",a painting of a mountain with a sky filled with stars . 
1,"photo of a stain glass artwork depictinf a mirrored delicate minimalist art nouveau tattoo, vibrant colors, intricate detail, clean lines ",a blurry picture of a balloon with a rainbow of colors . 
2,evil cat inspired by snipperclips ,a pink and white cat with a blue face . 
3,"earth chan anime digital art, au naturel, hyper detailed, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, octane rendered, art style by klimt and nixeu and ian sprigger and wlop and krenz cushart ",a girl with blonde hair is standing in the sky . 
4,"survival in a winter forest, cinematic, cold tone, ",a snowy forest filled with lots of trees . 
5,"cute fluffy grey tabby cthulhu and tan lop eared bunny rabbit hybrid mixed creature character concept, with long flowing fur blowing in the wind, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k ",a bunny rabbit with a peacock feather headdress . 
6,"masculine wolf fursuiter, candid photo of a fursuiter taken in the dealers'den at midwest furfest 2 0 1 8, intricate fur design, glowing eyes ( all on you ) ",a person in a wolf costume with blue eyes . 
7,sesame street characters wearing armor in a roman phalanx in rome ,a group of people dressed up as characters . 
8,"void donut, beautiful landscape, environment, colors, film, dramatic, cinematic, highly detailed, mid day, large scale, hyperrealistic, realistic lighting, octane render, thomas kinkade, by wlop, artgerm, trending on artstation hd, 8 k, clear, sharp ",a painting of a house on the shore of a body of water . 
9,"a ethereal pink and blue fire in the style of god of war, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha, 8 k ",a woman with glowing blue eyes and pink hair . 
10,"mysterious detailed cgi matte painting of a tessa thompson the space empress of the andromeda, by ellen jewett, alessio albi | symmetrical features, photorealism, stunning, ornate, royally decorated, organic, growth, whirling gasses, glowing particles, refractive adornments, colorful torn nebulas, radiant vibrant colors ",an image of a woman in a white dress 
11,"hyperrealism, night background, super zoom, goddess close - up portrait real human skeleton ram skull jellyfish!! phoenix crow wings! giant orchid!! artwork by tooth wu and wlop. octane render, trending on artstation, greg rutkowski cinematic, hyper realism, high detail, octane render, 8 k ",a group of skulls with glowing red eyes . 
12,"a renaissance portrait of dave chappelle, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, ",a painting of a man 's face in a yellow background . 
13,oil painting of a xenomorph with two earrings wearing a babushka scarf trending on artstation grim gloomy dreary tired bleak cgsociety contest winner award winning intricate detailed 4 k 8 k uhd ,a painting of an alien with a red hat . 
14,"hyperdetailed anthropomorphic fox wearing pale green jumpsuit, highly detailed portrait, unreal engine, digital painting, sharp focus illustration, artstation hq. intricate, elegant, medium shot, art by artgerm and wlop and magali villeneuve ",a painting of a fox wearing a green jacket . 
15,"white fur mothman, big wings on back, mothman moth, six arms, by greg rutkowski ",a painting of an owl flying in the sky . 
16,"a backpack in strawberry fruit shale, digital art, octane render, hasselblad photo, 4 k resolution, fashion design ",a red and gray backpack is sitting on the ground . 
17,nativity by the sea ; henry ossawa tanner ; cubism ; c. 1 9 1 7 ,a painting of people on the beach by the water . 
18,"nowhere is a place, beautiful landscape, environment, colors, cinematic, highly detailed, large scale, realistic lighting, octane render, by wlop, artgerm, by vladimir motsar, high quality, trending on artstation, hd, 8 k, clear, sharp ",an image of a mountain with a lake in the background . 
19,"portrait of a terrified and frightened beautiful young woman with big crimson blood splotches on her face. curled in a corner weeping terror, in a castle corridor. tears. wearing a magnificent intricate emerald necklace. long brown - chestnut hair. green medieval ball gown. 4 k low angle photograph, lens focused on necklace, clear image, detailed eyes ",a woman in a green dress with green makeup . 
20,"cute little boy anime character inspired by jason voorhees art by rossdraws, wlop, ilya kuvshinov, artgem lau, sakimichan and makoto shinkai, anatomically correct, extremely coherent, highly detailed, sharp focus, slasher movies, smooth, red lighting, very realistic, symmetrical ",an illustration of a person wearing a hockey mask . 
21,"photo environement post futurist hospital : 4, 4 k rtx hdr volume light concept studio matte painting environement digital illustration style art that looks like it is from borderlands and by feng zhu and loish and laurie greasley, victo ngai, andreas rocha, john harris by jesper ejsing, by rhads, makoto shinkai and lois van baarle",an artistic drawing of a city street . 
22,"storm at night, beautiful landscape, environment, colors, film, dramatic, cinematic, highly detailed, large scale, realistic lighting, octane render, by wlop, artgerm, by vladimir motsar, high quality, trending on artstation, hd, 8 k, clear, sharp ",a painting of a stormy sky over the ocean . 
23,helium by m. c. escher. centered. ,an intricate drawing of a leaf in a field . 
