,prompt,open_clip
0,"lemonbrat studios bat fursuit, fursuiter, candid photo taken in the dealers'den at midwest furfest 2 0 1 8 ",a close - up of the face of an animal . 
1,"a raspberry made of metal, reflective, unreal engine ",a group of raspberries sitting on top of a metal surface . 
2,"🐉🌊 digital artwork by vincent bons, michael whelan, remedios varo and gerardo dottori. grainy and rough. interesting pastel colour palette. beautiful light. oil and watercolour painting based on high quality render. ",an oil painting of a sailboat in the ocean . 
3,"bridge to the light, beautiful landscape, environment, colors, film, dramatic, cinematic, highly detailed, large scale, realistic lighting, concept art, octane render, by wlop, artgerm, by vladimir motsar, high quality, trending on artstation, hd, 8 k, clear, sharp ",an artistic painting of a bridge over a body of water . 
4,"graffiti explosion, multicolor color scheme, by jesper ejsing and peter mohrbacher and marc simonetti and brom and joseph christian leyendecker and ashley wood and james gurney and jean leon gerome, coloreful, highdetailed, drawing, line, oilpainting ",a painting of a bunch of people in a field . 
5,an anatomically correct human brain covered in moss and small mushrooms ,an overhead view of a human brain surrounded by mushrooms and mosses . 
6,anime art of kermit the frog and misato katsuragi enjoying a cold beer ,a woman holding a beer and a green frog . 
7,"cute fluffy cheetah giraffe mixed creature character concept, with long flowing fur blowing in the wind, wearing peacock feather headdress, detailed oil painting, renaissance, 4 k ",a painting of a giraffe in a grassy field . 
8,"a painting of a buck in suit sitting on a chair near a window, in the style of studio ghibli, trenidng on artstation, humanoid, personify, anthropomorphic, stag, deer ",a couple of deer standing next to each other . 
9,"two shadows with purple details are kissing in high detail fallout hell with extreme passion, around them everything is burning, by bossmonsterbani and gustave dore, aleksandra waliszewska, aoi ogata, greg rutkowski and nona limmen, dark dystopian concept art with beautiful cinematic elements ",an image of a woman hugging a man in the dark . 
10,captain beefheart as a funko pop figure ,a toy figure of a man in a suit holding a guitar . 
11,"a pink bus, cartoon style, minimalist, vector line art, clean cel shaded vector art, by ross tron, lois van baarle, artgerm, helen huang, makoto shinkai, ilya kuvshinov, rossdraws ",a pink double decker bus is shown against a blue sky . 
12,"a silver!!! phoenix bird aflame!!! flying inside!!!! a cathedral, high quality, by magali villeneuve and brom and artgerm and donato giancola ",an illustration of a woman with a huge bird like wings . 
13,"synthwave astronaut tabby cat, golden hour, fantasy, vivid colors, sharp focus, digital art, hyper - realistic, 4 k, unreal engine, highly detailed, hd, dramatic lighting by brom, trending on artstation ",a close up of the face of a cat . 
14,"render of fantasy cleric armor, silver with gold trim, medieval fantasy, extremely clean, exaggerated proportions, trending on artstation, hd octane render, 8 k ",a close - up of a silver and gold knight 's armor . 
15,elegant alien ,a painting of an alien with a pink shirt and a pink tie . 
16,bald monalisa ,a painting of mona lisa by leonardo da vinci . 
17,"silk velvet ribbon floral embroidery, blue and green, macro shot. ",a close - up view of a yellow and green floral design . 
18,"la pieta ultrarealistic ultradetailed medium shot painting of slimy catholic veiled transparent maiden with transparent skin, skeleton still life, neural net, steampunk internal organs, greg rutkowski, peter gric, immerse, 1 9 th, special effects makeup, maximalist, glittering, gold, ivory, hyperreal, golden ratio, alphonse mucha, bride of frankenstein, glamour make up ",an image of a woman with a skeleton face . 
19,"low - fi color analog photography. a liminal space. a seaside staircase made from glass mosaics. strange, nonsensical, unsettling, infinite, recursive. ",an image of a crowd of people sitting on bleachers . 
20,a man in 1 9 3 0 s attire seen from behind walking waist - deep in a deep infinite flat sea of crimson blood. many human cadavers are floating face down in the red liquid. pitch black empty sky. high contrast. masterpiece painting by kelly freas and alphonse mucha ,a painting of a man in a red suit . 
21,"a dark magus faces off against a vicious anubis, by james gurney, cyberpunk, scifi, dystopian art, fight scene, cinematic, dramatic lighting, intricate details, cool colors, hd ",a group of men standing next to each other . 
22,sand dunes ,a view of some sand dunes in the desert . 
23,"a person in a white robe walking down a long hallway. found footage, analog horror ",a hallway with a door open to a dark room . 
24,"beautiful butterfly, lens focused on butterfly, realistic, natural, clear image ",a group of three yellow and black butterflies . 
25,"a unavowed, unconformist painting of people sitting on a couch by archibald motley, featured on cg society, american scene painting, matte drawing, 2 d game art, dystopian art ",a group of people sitting on a red couch in a room . 
26,adult male ; short blonde hair ; golden accessories ; golden eyes ; bright colours ; ornate eyepatch ; idol ; golden energy swirls ; in the style of webtoons ; digital art ; high detail ; trending on artstation ; anime key visual ,an illustration of a man wearing goggles and a jacket . 
27,"a portrait painting of a buck in suit sitting on a sofa, by rembrandt ",a painting of an animal wearing a fur coat . 
28,"jim varney portrait, dressed as ernest, art by artgerm, wlop, loish, ilya kuvshinov, 8 k realistic, hyperdetailed, beautiful lighting, detailed background, depth of field, symmetrical face, frostbite 3 engine, cryengine, ",a painting of an old man with a mustache . 
29,"photoreal portrait of a futuristic intricate cute robot in a post apocalyptic server bunker of singularity, intricate malfunctioning circuits, glittering light leaks, electromagnetic waves, blue glowing agressive led eyes, wearing headphones and sunglasses, octane render, trending on artstation, cyberpunk, dystopia tokyo ",an image of a robot that is in a room . 
30,"a beautiful and highly detailed digital painting of an alien pyramid in a lush forest on an alien planet, psychedelic patterns, psychedelic plants and trees, intricate details, epic scale, 8 k, sharp focus, photorealism, artstation, cgsociety, by caspar friedrich, albert bierstadt, james gurney, alex grey, brian froud, ",a painting of a pyramid in the middle of a forest . 
31,"a portrait of andrew garfield, art by annibale carracci in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, ",a painting of a young man with a beard . 
32,"a small sky filled with a small sunset, studio lighting, golden ratio, details, masterpiece, fine art, intricate, decadent, ornate, highly detailed, digital painting, octane render, ray tracing reflections, 8 k, featured, by claude monet and vincent van gogh ",an oil painting of a field of flowers with a sky background . 
33,"beautiful white lioness three quarters profile view, with tribal peacock feather headdress and flowers, pastel colors, detailed magical realism painting 4 k ",a painting of a white lion wearing a colorful headdress . 
34,"photograph of joe biden swimming with fish, a dozen mini joe biden swimming with fish, photographed by the national geographic, cinematic lighting, beautiful, photograph, joe biden in his natural habitat, wet, swimming towards camera, water light ripple, scary, ",a man in a suit and tie swimming in the water . 
35,"byzantine gothic camazotz, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ",an image of an evil looking creature 
