,prompt,open_clip
0,"the last surviving mammoth frightened, and roaring while looking upwards, in a green grass field in iceland, cloudy sky with perfect thunders, gloomy ashen atmosphere, realistic photograph, landscape photography, digital hyper realism, sharp focus on subject, 8 k octane render ",an elephant with tusks is standing in the grass . 
1,"shattered fractured glass texture, toucan creature with deer antlers, lake, reflections, massive oval mirrors, cinematic, filmic, ray tracing reflections, detailed and intricate, elegant, ornate, realistic, golden hour, stormy weather, ominous, dark wet walls of a dungeon, mirror portal, true detective forest ",a view through a hole in the wall of a wall . 
2,"brawl stars character holding a weapon, 2 d digital art, in a desert, blue sky ",an animated picture of a man holding a hammer . 
3,"peggy gou by disney pixar, cgsociety, octane render, very detailed 3 d ",an animated woman with glasses and a short hair style . 
4,detailed werewolf smoking ciggars in the style of kramer poster ylli haruni and marius miclea and tom baesten and andreas bauer ,an illustration of a werewolf holding a knife . 
5,"happy birthday, summer field, flowers, danish cookery, axonometric exploded view, nordic pastel colors, perfect lightning ",many different colored flowers on a green background . 
6,"sexy beautiful woman head made of mech mask rendered in unreal engine, cyberpunk fashion, dark scifi, painted by david burliuk | bernard buffet | carne griffiths | wlop ",a painting of a woman 's face with a lot of paint on it . 
7,"typical 1 9 8 0 s kitchen counter, wlop, steve argyle, ilya kuvshinov, ralph horsley, rossdraw, mark ryden, sophie anderson, lilia alvarado, tom chambers ",an illustration of a kitchen with a lot of clutter on the counter . 
8,angry justin sun having a tantrum being arrested by police in the style of cops ,a group of police officers are walking down the street . 
9,"gundam 3 d robot ninja mask combinaison suit design engine by mark ryden and pixar and hayao miyazaki, unreal 5, daz, hyperrealistic, octane render, cosplay, rpg portrait, dynamic lighting, intricate detail, harvest fall vibrancy, cinematic beeple, by thomas kinkade hearstone league of legends dofus overwatch and heartstone ",a robot is standing in front of a gray background . 
10,"tom brady, by gerardo dottori, ",a painting of a man 's face in a blue background . 
11,"a painting of a burning village by greg rutkowski, dark fantasy art, high detail, trending on artstation ",an apocalyptic scene of a city on fire . 
12,"photo cartoon illustration comics manga painting of small sci - fi machineshop in a shipping container, sci - fi, cyberpunk, neon, steampunk, noir, fantasy, digital painting, unreal engine, 8 k, volumetric lighting, contrast ",an illustration of a room filled with electronics . 
13,"a full color character sheet with front, back and side views of an evil sorcerer n ornamental robes with glowing runes on fabric, holding a tall glowing ornate intricate magical staff, video game concept art by wizards of the coast, magic the gathering, blizzard, games workshop, greg rutkowski, craig mullins, weta, elder scrolls ",a series of pictures of a man in a purple outfit . 
14,"photo cartoon illustration comics manga painting of wizard kitchen : 6 fantasy, digital painting, unreal engine, 8 k, volumetric lighting, contrast ",an artistic painting of a woman in a kitchen . 
15,"mf doom surrounded by starlight, moon behind, chinese fantasy, intricate complexity, elegant, hyper detailed, scattered diffusion, ultra definition, photoreal, artstation, unreal engine rendered, concept art, smooth, sharp focus, illustration, art by artgerm and pendleton ward and alphonse mucha and garis edelweiss ",an image of an ornate face with a lot of gold . 
16,"renaissance oil painting of fluffy white lop eared bunny rabbit, wearing royal robe with lace collar, crown with jewels and flowers, throne in background, detailed 4 k ",a painting of a rabbit in a frame . 
17,"nendoroid of sir clive sinclair in a blue tracksuit, figurine, detailed product photo ",a blurry picture of a man in a blue suit . 
18,"a rusty mechanical robotic human skeleton buried in a pile of rubble, overgrown with vines, reaching out, beams of light, plant overgrowth ",a skeleton is laying in the bushes . 
19,oil painting by hieronymous bosch of a highland cow in a meadow at dawn. ,a painting of an animal with horns in a field . 
20,"movie still close - up of a white japanese female ghost face going out of blood puddle, swamp backround, cinestill 8 0 0 t 3 5 mm eastmancolor, heavy grain, high quality, noir, natural textures, photorealistic, ambient occlusion, hd, ultra wide lens, anamorphic ",a mask floating in a body of water . 
21,"white tiger, beautiful landscape, environment, colors, film, dramatic, cinematic, highly detailed, mid day, large scale, realistic lighting, octane render, by wlop, artgerm, trending on artstation, hd, 8 k, clear, sharp ",a close up of two white tigers with green eyes . 
22,"a close - up cherry, concept artwork for mmorpg royal quest by helen blizzard ",a painting of a bunch of cherries hanging from a tree . 
23,"logo carbon, tree, vector, icon, simple, mark ",a tree that is sitting on the side of a building . 
24,"oil painting tall slim mature female warrior in iron armour standing in desert, dynamic, by norman rockwell, jack kirby, alex ross, bergey, zdzislaw beksinski, ruan jia, jeremy mann, tom lovell, 5 0 s science fiction, pulp scifi fantasy marvel illustration ",a painting of a man holding a spear in the desert . 
25,"portrait of a young ruggedly handsome but joyful pirate, male, masculine, upper body, red hair, long hair, d & d, fantasy, giddy smirk, intricate, elegant, highly detailed, digital painting, artstation, concept art, matte, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha ",a man with long red hair and a beard . 
26,"tucker carlson as banjo kid from deliverance, eyes squinting, movie image, photography, highly detailed, high quality, 8 k, realistic face, path traced ",a boy holding a guitar in front of a tree . 
27,"synthwave outrun painting of a river running through a valley, with a vortex of dramatically moonlit clouds above it in the sky, with the moon in the center. psychedelic art, highly detailed, sense of awe, apocalypse art, by jeffrey smith, deviantart ",a painting of the sun setting over the ocean . 
28,"artistic digital artwork. where am i? epic beautiful colourful scene by vincent bons, michael whelan, remedios varo and gerardo dottori. grainy and rough. interesting pastel colour palette. beautiful light. oil and water colour based on high quality render. ",an artistic painting of a street scene with buildings . 
29,"beautiful anime painting of sunny hiphop solarpunk teen summertime chill with corgi, by dao le trong, daniela uhlig, craig mullins, craig davison. trending on artstation, 8 k, masterpiece, graffiti paint, fine detail, full of color, intricate detail, golden ratio illustration ",a painting of a woman and a boy . 
30,"an anatomically correct brain made of metal, biomechanical, cybertronic ",a model of a human head with a red spot in the brain . 
31,"pov one man walking in a giant ancient ballroom neoclassical buildings, troglodyte temples in a deep spiral by piranesi, cinestill 8 0 0 t 3 5 mm b & w, high quality, mud, rain, by night, ultra wide lens, anamorphic, medieval style ",a person walking inside of a building with columns . 
32,"[ app logo ]! of a clock, award winning, [ 4 k ], pinterest logos, centered!, golden ratio!, [ symmetrical ]!! ",a gold circle with the letter c in the center . 
33,"portrait of kakegurui, shinsekai yori, anime girl jabami yumeko au naturel, hyper detailed, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, octane rendered, art style by klimt and nixeu and ian sprigger and wlop and krenz cushart ",an animated picture of a woman with long red hair . 
34,"sailor mercury, highly detailed, digital painting, concept art, smooth, sharp focus, artstation, artgerm and greg rutkowski and alphonse mucha and j. c. leyendecker and edmund blair leighton and katsuhiro otomo and geof darrow and phil hale and ashley wood and ilya repin and charlie bowater ",a woman with blue hair is sitting on a pink background . 
35,8 k photo of a lego rafa nadal playing in a mini clay tennis court ,a lego man is on a tennis court with rackets in front of him . 
36,"art by brian reedy, a beautiful black ink linocut print of a palm oasis in the desert, 8 k, frostbite 3 engine, cryengine, ground level shot, dof, trending on artstation, digital art, crepuscular ray ",black and white drawing of palm trees in the sun . 
37,"an adorable ironman by krenz cushart, artgerm, alphonse mucha, akihiko yoshida ",an illustration of a young man in a iron man suit . 
38,"gnarly molten dripping meat mickey mouse body parts dark ritual by goya and escher, highly conceptual figurative art, intricate detailed illustration, flat acrylic painting, monumental dynamic illustration, surreal art, detailed illustration ",a blurry picture of a bear with a heart on it . 
39,"watercolor painting of a male japanese bjd samurai warrior magus by yoshitaka amano, yoji shinkawa, in the style of dark - fantasy, symmetrical face portrait, red, bronze, artgerm ",an illustration of a man with long black hair . 
40,potato shaped fish print ,a drawing of a fish on a piece of paper . 
41,"photo cartoon illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, super sharp, volumetric lighting, artstation ",an artistic painting of an industrial setting with a lot of electronics . 
42,rtx | a sprawing amusement park | in the middle of yosemite | by rutkowski and bierstadt and beeple ,an image of an outdoor scene with mountains in the background . 
43,"a very close - up lemon, in concept art of main menu loading screen background. for russian mmorpg by katauri, artstation, behance ",an image of an object that looks like a lemon . 
44,"an artistic painting of a small house floating in a colorful cloudy blue sky, midjourney, by greg rutkowski, artstation ",an old house sitting in the middle of a field . 
45,"rugged joe taslim, art by artgerm and greg rutkowski and magali villeneuve, portrait, mafia, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration ",a painting of a man holding a gun in his hand . 
46,"rolling hills and a farm, appalachian folk art, mixed media, 3 d, detailed, award winning, blue, purple, red, orange, green ",a painting of a field with a house in the background . 
47,"a mechanical arm reaching out of the earth, covered in flowers and vines. rats of light shinning down, dust specks, unreal engine ",an image of an image that is being displayed . 
48,🐺🦊 null sanctos ⛩ noctum libati 🏴☠ ,two people on motorcycles and a dog on a dirt road . 
49,"a highly detailed photograph of barak obama as master chief, standing in front of a massive american flag, photorealistic, 4 k, wallpaper, lifelike, highly detailed, movie scene, promotional poster ",a toy soldier stands in front of an american flag . 
50,"denzel curry running into the night, volumetric dark natural light, dark enlightenment, alchemy, albedo, octane render, by zdzislaw beksinski, jack kirby, tom lovell, alex malveda, greg staples ",a person is standing in a dark alley . 
51,"cyberpunk coral cyborg christian bale jellyfish, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ",an image of a robot with a red mask on it . 
52,golden girls as insane clown posse ,a group of women dressed up as the golden girls . 
53,"dynamic dramatic portrait, imogen poots as holy warrior goddess, close - up shot greg manchess matte painting by sargent and leyendecker, pastel colours, holy academia, sharp focus, intricate details, fanart artstation by entei ryu and follygon and jesper ejsing and rhads and lois van baarle and ilya kuvshinov ",a painting of a woman in a white dress . 
54,"rugged male [ muscular, shirtless, oily ]!!, trending on artstation, front view!!, portrait!!, contest winner, intricate, [ 4 k realism ]!!, 3 d render, zbrush!!, zbrush contest winner, full body!!, bright, sharp, artstation 3 d, cgsociety best ",a muscular man is standing in a black and white photo . 
55,"artistic digital artwork. where am i? epic beautiful bright but clear scene from a dream by vincent bons, michael whelan, remedios varo and gerardo dottori. grainy and rough. interesting colour palette. beautiful light. translucent. detailed oil and water colour based on high quality render. ",a painting of a field with a sky in the background . 
56,skeletal medusa snakes mood lighting 4 k dark art by emil melmoth h r giger brian froud gustave dore albrecht durer hieronymus bosch greg rutkowaki ,a drawing of a skull with snakes surrounding it . 
57,"portrait of hybrid animal, cross between white lion and tabby cat with long fur, with fluffy fur blowing in the wind, three quarter side profile view, wearing a tribal headdress of peacock feathers and flowers, detailed painting, 4 k, magical realism, ",a painting of a white lion looking into the distance . 
58,"a beautiful painting of cyberpunk skull by nekro and pascal blanche and syd mead and greg rutkowski and sachin teng and victo ngai and simon stalenhag and chris voy and tsutomu nihei. in style of cg art. ray tracing, cel shading, 3 d. ue 5. hyper detailed. realistic. maya. octane render. ",an artistic painting of a skull in front of a city . 
59,1 8 6 0 s anime background art ,a group of three people riding a bicycle . 
60,"medium shot of a nun posing in a sexy bikini in a church, realistic face, beautiful eyes, fantasy art, hyper realistic, amazing detail, in the style of greg rutkowski ",a woman in a white bikini with a towel around her neck . 
