,prompt,open_clip
0,"classic oil painting, sci fi beautiful landscape, environment, colors, film, dramatic, cinematic, highly detailed, mid day, large scale, hyperrealistic, realistic lighting, octane render, by wlop, artgerm, trending on artstation hd, 8 k, clear, sharp ",a painting of a mountain range with a body of water in the foreground . 
1,"3 panel scene, anime girl sleeps inside a cozy dark room - dramatic cozy arts by wlop and okuda genso. wide angle lens. featured on pixiv, anime aesthetic. pixiv, warm aesthetic, rays of light, volumetric light, artstation, vanitas, official art, gothic, noise film photo. octane render, redshift render, ue 4 ",a couple of people laying in a bed . 
2,"art by brian reedy, a beautiful black ink linocut print of a giant cacti forest, 8 k, frostbite 3 engine, cryengine, ground level shot, trending on artstation, digital art, crepuscular ray ",a black and white photo of a cactus field . 
3,a portrait painting of ulysses yen ,a painting of an older man with glasses . 
4,an modern brazilian hotel lobby ,"a lobby area with couches , tables and a chandelier . "
5,"cute fluffy lion cheetah hybrid mixed creature character concept, with long flowing fur blowing in the wind, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k ",a painting of a lion 's head with feathers on it 's face . 
6,"a rat kitten, with rat face and cat body, photo taken by a nikon, sharp focus, highly detailed ",a cat is sitting on someones hand and looking at the camera . 
7,white chocolate glazed donut with strawberries on a plate with a cup of coffee ,there is a small dessert on the table . 
8,"potrait of cross between donald trump and joe biden laughing, menacing teeth, zdzislaw beksinski, lewis jones, dariusz zawadzki, wayne barlow, 4 k, ultra - high - definition, cold hue palette ",an image of a man that is laughing 
9,"photo illustration comics painting of small scifi machine shop in a shipping container, scifi, cyberpunk, neon lighting, noir, digital photography, intricate detail, unreal engine, 8 k, volumetric lighting, artstation hr giger gustave dore ",an artist 's rendering of a room with a lot of stuff on the floor . 
10,"a beautiful and highly detailed digital painting of an alien pyramid made of stone bricks in the distance, a lush forest on an alien planet, psychedelic patterns, psychedelic plants and trees, intricate details, epic scale, 8 k, sharp focus, photorealism, artstation, cgsociety, by caspar friedrich, albert bierstadt, james gurney, alex grey, zeen chin, ",an image of an alien landscape with pyramids and trees . 
11,"the squid wearing a santa costume, christmas themed winter background, lobster claws, santa beard, by greg rutkowski and frank frazetta, intricate, artstation, vibrant, cinematic, style of magic : the gathering ",a painting of a santa claus and a bug . 
12,"the large cresting waves, dark sky, evoke a sense of wonder, pronounced waves, victo ngai, kilian eng, leonardo da vinci, flat ",a painting of a wave in the middle of the ocean . 
13,"dramatically lit, intricate fractal marble sculpture of an ancient, weathered, mossy tortoise ",a close up of a turtle on a rock 
14,"teacher villainess, dreamworks official character design sheet turnaround, studio, best on artstation, 4 k hd, by nate wragg ",a series of female characters in various poses . 
15,"house of the dragon, beautiful landscape, dreamy, environment, colors, film, dramatic, cinematic, highly detailed, mid day, large scale, realistic lighting, octane render, by wlop, artgerm, by vladimir motsar, high quality, trending on artstation, hd, 8 k, clear, sharp ",an artistic painting of a house with a dragon head on it 's face . 
16,"a painting of the cosmic nebula whale by salvador dali, dark fantasy art, high detail, trending on artstation ",a painting of a blue whale in the sky . 
17,photograph of donald trump's human skin beginning to crack. ,a black and white photo of a man in a suit and tie . 
18,a vintage minimalistic laughing skull with a wide smile warning patch ,a patch with a skull in the middle of it . 
19,armored combat macaw ,a colorful parrot sitting on a branch of a tree . 
20,"closeup profile portrait of a tin toy cat dressed as a victorian gent, nicoletta ceccoli, mark ryden, lostfish, max fleischer, hyper realistic, artstation, illustration, digital paint, matte paint, vivid colors, bright, cheerful, detailed and intricate environment ",a painting of a cat wearing a top hat . 
21,a man in old - fashioned attire walking waist - deep in an infinite sea of crimson blood. many human corpses floating in the red liquid. pitch black sky. stunning horror painting by richard corben and antoine blanchard ,a man standing in the middle of a body of water . 
22,"a painting of 2 d from gorillaz by greg rutkowski, dark fantasy art, high detail, trending on artstation ",a blurry picture of a person with a pink bow on their head . 
23,"minecraft avatar of h. p lovecraft, block photo of author lovecraft ",a black and white image of a man in a suit . 
24,"yogsothoth soggoth azathoth, intricate coherence translucent, evil tentacles, long twisted nebula fog - mist galaxy dead eyeballs, random decor of necro blast, psycho colors veins, realistic flavor, twisted sorrow fade soft, award winning photoshoot, wicked lovecraft drip ",a blurry image of a red and green background . 
25,halle berry's face made of berries ,a close up of a person with short hair . 
